stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
534_1,,,,,,,,0,534,,
535,,,,,,,,1,,,
535_1,,,,,,,,0,535,,
536,,,,,,,,1,,,
536_1,,,,,,,,0,536,,
537,,,,,,,,1,,,
537_1,,,,,,,,0,537,,
538,,,,,,,,1,,,
538_1,,,,,,,,0,538,,
539,,,,,,,,1,,,
539_1,,,,,,,,0,539,,
540,,,,,,,,1,,,
540_1,,,,,,,,0,540,,
541,,,,,,,,1,,,
541_1,,,,,,,,0,541,,
542,,,,,,,,1,,,
542_1,,,,,,,,0,542,,
543,,,,,,,,1,,,
543_1,,,,,,,,0,543,,
544,,,,,,,,1,,,
544_1,,,,,,,,0,544,,
545,,,,,,,,1,,,
545_1,,,,,,,,0,545,,
546,,,,,,,,1,,,
546_1,,,,,,,,0,546,,
547,,,,,,,,1,,,
547_1,,,,,,,,0,547,,
548,,,,,,,,1,,,
548_1,,,,,,,,0,548,,
549,,,,,,,,1,,,
549_1,,,,,,,,0,549,,
550,,,,,,,,1,,,
550_1,,,,,,,,0,550,,
551,,,,,,,,1,,,
551_1,,,,,,,,0,551,,
552,,,,,,,,1,,,
552_1,,,,,,,,0,552,,
553,,,,,,,,1,,,
553_1,,,,,,,,0,553,,
554,,,,,,,,1,,,
554_1,,,,,,,,0,554,,
555,,,,,,,,1,,,
555_1,,,,,,,,0,555,,
556,,,,,,,,1,,,
556_1,,,,,,,,0,556,,
557,,,,,,,,1,,,
557_1,,,,,,,,0,557,,
558,,,,,,,,1,,,
558_1,,,,,,,,0,558,,
559,,,,,,,,1,,,
559_1,,,,,,,,0,559,,
560,,,,,,,,1,,,
560_1,,,,,,,,0,560,,
561,,,,,,,,1,,,
561_1,,,,,,,,0,561,,
562,,,,,,,,1,,,
562_1,,,,,,,,0,562,,
563,,,,,,,,1,,,
563_1,,,,,,,,0,563,,
564,,,,,,,,1,,,
564_1,,,,,,,,0,564,,
565,,,,,,,,1,,,
565_1,,,,,,,,0,565,,
566,,,,,,,,1,,,
566_1,,,,,,,,0,566,,
567,,,,,,,,1,,,
567_1,,,,,,,,0,567,,
568,,,,,,,,1,,,
568_1,,,,,,,,0,568,,
569,,,,,,,,1,,,
569_1,,,,,,,,0,569,,
570,,,,,,,,1,,,
570_1,,,,,,,,0,570,,
571,,,,,,,,1,,,
571_1,,,,,,,,0,571,,
572,,,,,,,,1,,,
572_1,,,,,,,,0,572,,
573,,,,,,,,1,,,
573_1,,,,,,,,0,573,,
574,,,,,,,,1,,,
574_1,,,,,,,,0,574,,
575,,,,,,,,1,,,
575_1,,,,,,,,0,575,,
576,,,,,,,,1,,,
576_1,,,,,,,,0,576,,
577,,,,,,,,1,,,
577_1,,,,,,,,0,577,,
578,,,,,,,,1,,,
578_1,,,,,,,,0,578,,
579,,,,,,,,1,,,
579_1,,,,,,,,0,579,,
580,,,,,,,,1,,,
580_1,,,,,,,,0,580,,
581,,,,,,,,1,,,
581_1,,,,,,,,0,581,,
582,,,,,,,,1,,,
582_1,,,,,,,,0,582,,
583,,,,,,,,1,,,
583_1,,,,,,,,0,583,,
584,,,,,,,,1,,,
584_1,,,,,,,,0,584,,
585,,,,,,,,1,,,
585_1,,,,,,,,0,585,,
586,,,,,,,,1,,,
586_1,,,,,,,,0,586,,
587,,,,,,,,1,,,
587_1,,,,,,,,0,587,,
588,,,,,,,,1,,,
588_1,,,,,,,,0,588,,
589,,,,,,,,1,,,
